Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
 tan tarm pateste,1,AP,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" Ta l̩apan johteɧum,",0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap
 luvum jol hanni,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg
" Jola vaɧluŋkve pateɧum,",0,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap
 luvum sisna tuv hanujeɧum,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap
" Juvle jiŋkve pateɧum, ",0,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap
luvum husmati,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg
 Jeɧpьɧe lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" - am lavi molal elal̩ jimumt tan sajim,",0,A,AV,NoPtcl,pst,evid,none,pfv,H,sg,pron,act,sp,uniq,strg
 tup luv an̩anel unleɧt,0,A,AV,NoPtcl,npst,ind,none,npfv,I,pl,possnp,ref,sp,uniq,weak
" - ati, apꞩite lavi,",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 tuve satьɧ ti jemtas,0,A,AV,ti,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
 am jalanteɧum,0,A,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap
 Jeɧpьɧe lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 - am lavi mineɧum,0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
 apꞩite lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 Ekvaьɧ ojkaьɧ pьɧriꞩ lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 - Am vermilum,1,AP,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap
 Ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Tuv johtas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" humite palt neɧlas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 luve tuv jol hanujas,0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,top,sp,uniq,strg
 Ta humite tьɧle l̩al̩t lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg
" - Jatel̩ jaɧpьɧ, am lavi ti tuve sāt, tale sāt tit ta hujanteɧum,",0,A,AV,ta,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap
" naŋ jaɧphьɧ olen,",0,A,AV,NoPtcl,npst,imp,none,npfv,2,sg,pron,act,sp,uniq,sap
 am apꞩiɧ oleɧum,0,A,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap
 L̩apan minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Elnuv jalanti,",0,A,V,NoPtcl,npst,ind,none,npfv,I,sg,zero,act,sp,uniq,strg
 ꞩar sohtьl oli,0,A,V,NoPtcl,npst,ind,none,npfv,I,sg,zero,act,sp,uniq,strg
 Ekva Pьɧriꞩ lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 ꞩar puŋkum sohtьl vos oli,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,act,sp,uniq,strg
 ꞩar sohtьl oli,0,A,V,NoPtcl,npst,ind,none,npfv,I,sg,zero,top,sp,uniq,strg
 Ekva Pьɧriꞩ lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 - Am ti jomas pal ꞩepumt liliŋ vit sulji oli,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,uniq,nfam
 Hum noŋh untas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 Noŋ l̩ulis,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Paꞩalahtasьɧ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 An Ekva Pьɧriꞩ lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 - An̩ naŋ jeɧphьɧ olen,0,A,AV,NoPtcl,npst,imp,none,npfv,2,sg,pron,act,sp,uniq,sap
" Aniɧlahtesьɧ,",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
" sipьɧlahtesьɧ,",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
 ti kittьɧ ta minasьɧ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
 Ekvaьɧ Ojkaьɧ pьɧriꞩ Lui hum palt os ta minas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 Tuv johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - Ē, lavi, jatel̩ jaɧpьɧ ta johtasьn,",0,A,V,ta,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap
" - Ā, lavi, ta johtasum",0,A,V,ta,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 Jeɧpьɧe lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - An̩, lavi, vosьɧ ēt at hujeɧum",0,A,V,NoPtcl,npst,ind,neg,pfv,1,sg,zero,act,sp,uniq,sap
 An̩ ti jorum johtьs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,act,sp,uniq,strg
 An̩ Mutraŋ ekva hontlaŋkve am jotum saka vorati,0,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 Am an̩ ti ēt hontlaŋkve mineɧum,0,A,APV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
" Mashatas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" enthatas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Hontlan maten johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Mutraŋ ekva mire athatmьt,0,A,AV,NoPtcl,pst,evid,none,pfv,H,pl,possnp,ref,sp,uniq,weak
" Ta kos ali,",X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
" ta kos loŋhiti,",X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 akv pis ta johti,0,A,AV,ta,npst,ind,none,npfv,I,sg,barenp,top,sp,uniq,strg
 akv pis ta johti,0,A,AV,ta,npst,ind,none,npfv,I,sg,barenp,top,sp,uniq,strg
" Aman tale sāt hontlas,",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" aman tuve sat hontlas,",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 juv ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Ta kos alasum,X,A,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 Jeɧpьɧe lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 - Naŋ maɧsьlьn am jaleɧum,0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
" - Ati, lavi, am mineɧum",0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
 Minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Tuv johtas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Hontlaŋkve pats,0,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Tьɧle hosɧi,",X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" tuvle hosɧi,",X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Mutraŋ ekva mire akv matert holasьt,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,possnp,act,sp,uniq,strg
 Akva arьɧtas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,weak
 vit alntan jivьɧ jemtapas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Kis hol̩tьl ta povaraŋkve pats,0,A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Jol vaɧlьs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tot jomьɧti,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Mā lepkas hontьɧpas,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Tuv jol-ta ꞩaltas,",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 hajtup hosit ta mini,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Joli torumna ta mini,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Jola johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Kolna juv ꞩaltьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Nal larmatane mus, elmholas kvalapi",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,zero,ref,sp,nuniq,nfam
" Kválāpi,",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 juji kol nupьl ta hajti,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" - máshatēn, máshatēn!",0,A,V,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,sap
" Tau juji kol nupьl ꞩaltьs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,sap
 Akvaьɧ johteɧt,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,sap
" Tot mana kem larmapti,",X,A,V,NoPtcl,npst,ind,none,npfv,U,abst,npron,undef,nonsp,nuniq,nfam
 akvaьɧ elmholas ta johti,0,A,AV,ta,npst,ind,none,npfv,H,sg,barenp,ref,sp,nuniq,nfam
" Mana kem elmholas johti,",0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,barenp,undef,nonsp,nuniq,nfam
" Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ, koni kol nakna kvals,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 ekva nupьl lavi:,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Am larmapteɧum,",X,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
" akv torьɧ hurmьl, kvalapi",0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,ref,sp,nuniq,nfam
 Akve lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" - Am man̩ porat katum mol̩ah ols,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,du,possnp,uniq,sp,uniq,weak
 larmapteɧum,X,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap
 sav kvalapi;,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,npron,ref,sp,nuniq,nfam
 an̩ katum laꞩalьɧ jemtьs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,top,sp,uniq,strg
 Akve nupьl lavi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Ta raɧatas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Ta ūsas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Kona kvalas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 ta jomantas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Kolna tuv juv ꞩaltьs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 ul̩a sultmil ta neɧlapi,0,A,AV,ta,npst,ind,none,npfv,I,mass,barenp,act,sp,uniq,strg
 Elmholas tuv kvalapi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,nuniq,nfam
 Ꞩisɧim; roŋhim mot kol nakna ta hajti,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 Ojka nupьl lavi:,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 am akv ꞩos jūniteɧum,X,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
 (jūnitaleɧum),X,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap
 sāv kvalapi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,npron,ref,nonsp,nuniq,nfam
 Ojka lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - Am katrisum vaɧtal pats,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,du,possnp,uniq,sp,uniq,weak
" an̩, lavi, matsum",0,A,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 Maniɧ olmum porat juvniteɧum,X,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap
 sāv kválāpi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,npron,ref,nonsp,nuniq,nfam
" An̩ ojka ta raɧatas,",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 ta usas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" An̩ pьɧriꞩ kona kvalas,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 os ta jómānti,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Akv kolna os johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - Akv sornite noŋh haŋhi,",0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam
 akv sornite jola-vaɧli,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam
 Tuv juv ꞩaltьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Mutraŋ ekva huji,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam
 Mutraŋ ekva aɧite lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" Ꞩanum noŋ sajkali,",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,weak
" naŋ an̩ kona kvalen,",0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,top,sp,uniq,sap
 ti sohripet kit poska ta unleьɧ,0,A,AV,ta,npst,ind,none,npfv,I,du,barenp,ref,sp,nuniq,nfam
 Juv ta ꞩaltьs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Mutraŋ ekva aɧi lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - Ꞩan̩-a ꞩan̩ kvalen,",0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,fam,sp,uniq,sap
 Ꞩane ta kválāpas,0,A,AV,ta,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 Ekvaьɧ- ojkaьɧ man̩ pьɧriꞩl ta pohtasьɧ,X,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 Ta pohataleьɧ,0,A,V,ta,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
 Mutraŋ ekva aɧi lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 Mutraŋ ekva kon ta lakvultas,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" Liliŋ vit poꞩkatēn kos lakvultas,",0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 usam vit poꞩka kiverna tuv lakvultas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Tau nomsi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg
 Noŋhal̩ lavьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Ta latŋe ojmatas,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,ref,sp,nuniq,nfam
 ta usas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Mutraŋ ekva aɧil akvan ta patsьɧ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 An̩ ekvaьɧ ojkaьɧ man̩ pьɧriꞩ lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" Kona-kvals,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Lapьs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Juv ta jomanti,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Akvaьɧ ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Noŋh johtьs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 luve l̩uli,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,fam,sp,uniq,strg
" Luve sisna tāluŋkve pats,",0,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Ta vantahtuŋkve pats,0,A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Apꞩite kolna ta johtьs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Juv ta ꞩaltьs,",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Apꞩite lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 - Hotum ta jolsьn?,0,A,V,ta,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap
" - Ta jalasasum, lavi,",0,A,V,ta,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 Apꞩite nupьl lavi:,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Am lavi māmna minimen,0,A,V,NoPtcl,npst,ind,none,pfv,1,du,zero,act,sp,uniq,sap
 Apꞩite lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" - Naŋ hotal̩ mineɧьn,",0,A,AV,NoPtcl,npst,ind,none,pfv,2,sg,pron,act,sp,uniq,sap
 tuvle ta minimen,0,A,V,ta,npst,ind,none,npfv,1,du,zero,act,sp,uniq,sap
 Kon-kvaluŋkve patsьɧ,0,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
" Ekvaьɧojkaьɧ man̩ pьɧriꞩ tau kon- kvalas,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
" - Aman ti sat nakl̩ulit kumьska kol, aman kotli on̩ɧum juntum hoŋhsa hurьɧ kivьrna aman at lapnuv",0,A,AV,NoPtcl,npst,irr,quest,pfv,I,sg,demnp,act,sp,uniq,strg
" Luve sisen talas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Jaltaptam humite palt johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Juv ꞩaltьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - I, jatel jaɧpьɧ, ta johtasьh!",0,A,V,ta,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg
" - A, lavi, manrьɧ at johteɧum",0,A,V,NoPtcl,npst,ind,quest,pfv,1,sg,zero,act,sp,uniq,sap
 Kona kvalas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 laps,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Luve sisna talas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Ta minmьɧtas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Ta mini,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Molal elal̩ miname porat hujam kolen johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Juv ꞩaltьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Ta hurip aɧi̊ unli,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,nuniq,nfam
 Aɧi lavi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ, sōl̩ ta hum olmьn",0,A,V,NoPtcl,pst,evid,none,npfv,2,sg,zero,act,sp,uniq,sap
 Hum kon kvalas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 lapьs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Ta mínmьɧtas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Aꞩaɧe ꞩan̩aɧe palt johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Aꞩaɧe ꞩan̩aɧe ta kem matumьɧ,0,A,AV,NoPtcl,pst,evid,none,pfv,H,du,possnp,act,sp,uniq,strg
 us kant kotlet jomьɧti,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 kolьɧ jemtьs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Kolьɧ jemtьs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
" kolьɧ jemtьs,",0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Kolьɧ jemtьs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 Us taɧьl mire ta sat nak lulit kumьska kol nupьl tuvle kartmьt,0,A,AV,NoPtcl,pst,evid,none,pfv,H,pl,possnp,ref,nonsp,nuniq,nfam
" luleɧt,",0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
 sunseɧt,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
" Namьŋ sāt, suiŋ sat aman l̩ul̩sьt",0,A,AV,NoPtcl,pst,ind,none,npfv,H,pl,barenp,top,sp,uniq,strg
" tuvle l̩al̩t, hontmanelt l̩uleɧt",0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 Pūri teŋkve ta patsьt,0,A,PV,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" Ti aman hosa tesьt,",0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
" aman vati tesьt,",0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 pes porat saka oꞩmarlas,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,uniq,sp,uniq,weak
Man̩ mosne jaɧpiɧentl oleɧa.,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,uniq,sp,uniq,nfam
Hoʂa olseɧa.,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
Vati olseɧa.,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
/toha/? olьmaten. Jaɧpiɧe jaɧaite nupil potьrtaŋke pats.,0,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg
Men homas akjot olьŋke patьmen əlale.,0,A,APV,NoPtcl,npst,ind,quest,pfv,1,du,pron,top,sp,uniq,sap
Torom toha lavs:,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,uniq,sp,uniq,weak
Potьrtь jaɧpiɧe os:,X,A,VA,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
Jaɧaite jaɧpiɧe nupil potьrtaŋke pats.,0,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
Men homs akjot olsmen,0,A,AV,NoPtcl,pst,ind,none,npfv,1,du,pron,top,sp,uniq,sap
elale olьmen.,0,A,V,NoPtcl,npst,ind,none,npfv,1,du,pron,top,sp,uniq,sap
Jaɧpiɧe lavi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg
ate men akjot at olьmen:,0,A,AV,NoPtcl,npst,ind,neg,npfv,1,du,pron,top,sp,uniq,sap
"Hunta elamhomast olaŋke pateɧt,",0,A,APV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,typid,nonsp,nuniq,strg
tan os toha pateɧt olaŋke.,0,A,AVP,NoPtcl,npst,ind,none,npfv,H,pl,pron,typid,nonsp,nuniq,strg
"Jaɧpiɧin ne jaɧpiɧe palt minnaŋke patь,",0,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,nonsp,nuniq,strg
jaɧaɧьŋ hum jaɧaɧьte vuŋke pati.,0,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,nonsp,nuniq,strg
mir telьɧlaŋke pateɧt.,0,A,APV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,typid,nonsp,nuniq,strg
Jaɧpihe at hontlas joɧaɧite,0,A,AV,NoPtcl,pst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg
