Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
naŋ tāχu̮mten,0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg
 mańe tuχu̮mtas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" Jila jȯχtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
raɣàtɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
tumajti,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 juu̯-minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Juw̯ - jɔ̇χtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
mańe χasap sāiŋ pal tuw - ūntəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Nȯmsi pȯu̯kꞩi: - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 wası̮ɣ nēmatər at nāŋki,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,npron,undef,nonsp,nuniq,nfam
 Jeɣ͕pı̮ɣe jȯχtəs juw,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg
 ēla ɔ̄leı̮ɣ,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg
" χɔ̇sa ɔ̄lsı̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
wati ɔ̄lsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
kȯn jȯnɣasan jānitı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 UƆƆ ńawramətən jonɣeɣt,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,uniq,sp,uniq,weak
 Jau̯ ꞩaralaχti,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg
 āꞩe χuntali ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,fam,sp,uniq,strg
ulta wes ńawramt laweɣt: -,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg
    tau̯ ań moꞩχum tumajti:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 am jeɣāɣim tau̯ ul ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,fam,sp,uniq,strg
 Juw-minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Juw-ꞩaltəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
tumajti,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 Kitı̮ɣlaχti,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 am jeɣāɣim χōtal' minas,0,A,AV,NoPtcl,pst,ind,quest,pfv,H,sg,possnp,act,sp,uniq,strg
" Jau̯ lāwi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
am at wāɣlum,1,AP,AV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,strg
