Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
 ȯs jiw ɔu̯əln pērmtaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tuwl jaɣāɣite palt mènas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tuw jȯχtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" awi punsı̮ɣtaste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl łaɣalas:,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jaɣāɣite tɔ̄rum jȯli palt χȯtal' mini!,0,A,AV,NoPtcl,npst,ind,quest,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ań nē masχatim łuńꞩi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 masχatne kannəl astəs,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 kȯna kāls,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jaj pı̮ɣe palt su͕nn minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jaɣpı̮ɣe rɔnχı̮ɣlas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 - jaɣ-tēm = aŋn – tēn sunn tālen!,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tau sunn tāls,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tan luwe tārataste,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ta tālmats,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 an pȯtjin jā suntəŋ jā suntēn ta mėnas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tuwl wojkan witu̮p pēpəŋ ās, wȯj χō̭ləŋ ās nalwa ta patsı̮ɣ",0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" wɔłe ke kit wɔł, wɔł'e ke χūru̮m wɔł' minamete jui palt tūrn ta patsı̮ɣ",0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tur patitn ta jȯχəsı̮ɣ,",0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl wȯrn! ta kȯlsı̮ɣ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 sɔ̄t nāŋk ār naŋk lēli,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,uniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 paj χɔntsı̮ɣ,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuw jaɣtı̮ɣe luwe tuwl ta pȯjłtaste,1,AP,AVP,ta,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 sunnəl sāɣrape wı̮s,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tɔ̄ru̮m tēlum, ma tēlum jānı̮ɣ nāŋk mań mȯꞩ χum jȯla saɣtuŋkwe ta ł'uls",0,INF-A,APV,ta,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl nāŋke jȯla: pats,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ań nāŋke ɔse χɔt nuiste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ań, rɔŋχuɣlas aɣāɣite nupəl",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 – jajen tı̮ɣ!,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" jajaɣite sunnəl nɔχ ta kals,",0,A,AV,ta,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuw ta mėnas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" mań mȯꞩ ne sunsi,",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ χum kit nāŋk sȯl' ta jȯrɣəs,1,A,APV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,barenp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ nēn sunsawe,1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jaɣpı̮ɣe rɔŋχı̮ɣlas:,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 - kataɣən punejn nāŋk tarməl,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,du,possnp,uniq,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 an mań mȯꞩ nē kataɣe nāŋk tarməl ta pun saɣe,1,AP,APV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl mań mȯꞩ χumn mań mȯꞩ nē jaɣāɣite kātaɣe sas sāɣrapawesı̮ɣ,1,P,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 kātaɣe sāɣrapim jui palt nāŋk jiw sȯł'il samaɣe ɔs tara puwtwe sı̮ɣ,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,du,possnp,uniq,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" mań mȯꞩ χum tuwl jaɣāɣite χɔt ɔssı̮ɣ͕laste,",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" sunen ti minas, luwe pałt,",0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" luwēn tālmats,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ań mań mȯꞩ χum juw ta mènas,",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ań mȯjt pats ań mań mȯꞩ nē nupəl,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,uniq,sp,uniq,weak,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" χȯsa tɔ̄ru̮m χȯsaı̮ɣ ūnlite,",1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 wāt'i tɔru̮m wat'ijiɣ ūnlite,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" sime ēttı̮ɣlawe,",0,P,PV,NoPtcl,npst,ind,none,npfv,,,,,,,,I,sg,possnp,uniq,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ālpite pɔł'awe,0,P,PV,NoPtcl,npst,ind,none,npfv,,,,,,,,I,sg,possnp,uniq,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" rak ke wāri,",1,A,PV,NoPtcl,npst,irr,none,npfv,,,,,,,,I,mass,barenp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tan num palēn pāti,",0,A,V,NoPtcl,npst,ind,none,npfv,I,mass,zero,typid,nonsp,nuniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" wɔ̄t ke wāri,",1,A,PV,NoPtcl,npst,irr,none,npfv,,,,,,,,I,mass,barenp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 wɔt ɔs tau̯ num palēn pāti,0,A,AV,NoPtcl,npst,ind,none,npfv,I,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ak mat nakı̮ɣ, ak mat artı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 nȯmte jȯli palt nȯmsi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 am χɔta mus unlejɣm?,0,A,AV,NoPtcl,npst,ind,quest,npfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 nɔχ ł'ul's,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tuwl sēr wȯr, mȯr wȯr jȯmuŋkwe ti pats",0,INF-A,PV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 sampiltal mȯt jiwn χɔji,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 juw raɣati,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 χɔji,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jȯlȧ pāti,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tɔχa jȯm nēte ak mat kant jȯla raɣats,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mat sir wɔŋχan ɔjumats,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ak mat ērt ti malaꞩ laχtuŋkwe pats:,0,INF-A,PV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ nē nȯmsi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 nas āt'i wȯrt ɔlnut kȯln patum!,0,A,V,NoPtcl,pst,evid,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ak mat nakı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 WƆ ta ńɔu̯suŋkwe pāts,0,INF-A,APV,ta,pst,ind,none,pfv,A,sg,barenp,ref,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" w ɔ̄ tuw nɔχ kā̇ls,",0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 kātlampe mań mȯꞩ nē sȱpen tȯtəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" man mȯꞩ nē kāt lampe ńȯlantite,",1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tuwl sime ta pȯjtəs,",0,A,AV,ta,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 sime pȯjtəs:,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 alpite rḗı̮ɣtı̮ɣlɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" Ak nakı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl WƆ kolēnəl kȯna kā̇ls,0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" kȯn kā̇ls,",0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 χɔtɒl nasāt’i rēɣəŋı̮ɣ jēmtu̮m,0,A,AV,NoPtcl,pst,evid,none,pfv,I,sg,barenp,ref,sp,uniq,weak,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tɔχ unlimate ak mat ērt, χɔtpa ti jomnēte suiti",0,A,AV,ti,npst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tan palte ti jōχtı̮ɣpas,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" - mań mȯꞩ nē, - lāwi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ ne juwl'e l'āɣalɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ań ēləl jȯχtum nēte l'aɣalɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 - am jȯtum mineɣən?,0,A,V,NoPtcl,npst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 an nētḗn tȯtawe,1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 kȯln jɔ̇χtɒsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ńar nāŋk, ńar χȯu̯t ɔłtum kȯln jȯχtɒsı̮ɣ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 juw ꞩaltsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl mań mȯꞩ ne χāsap sajŋ paln ūnttawes,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,barenp,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ań miš nēte pı̮ɣ ɔńsi,",1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,fam,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuw mań moꞩ nē miš χumn wȯjwes,1,P,PAV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" χȯs wāti ɔ̄lstēn,",1,AP,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ nē pı̮ɣ ȯńꞩəs,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 (χȯsa man māt'i ɔ̄lsı̮ɣ),0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" pı̮ɣ ɔꞩme jui palt, χumite lauljuwe,",0,P,PV,NoPtcl,npst,ind,none,pfv,,,,,,,,H,sg,possnp,act,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl pɔχɒn pȯswes,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ɔ̄nipēn χara kann tȯtwes,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tuwl ɔ̄nipēn χaństawes:,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" - naŋ tuł'al, pajal χɔltı̮ɣlawes",0,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" ɔ̄nip ta mėnas,",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 takket ta χul'təs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mań mȯꞩ nē pı̮ɣe ńarm χaln nɔχ ālməste,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ta jȯmmı̮ɣtɒs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tarəŋ ke χɔ̄nti,",1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tarəŋ jiwe kȯji,",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tȯwəŋ jiw ke χɔ̄nti,",1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 tȯwəŋ jiwe kȯji,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tɔχa kȯjimate, jȯmimate akw mat wɔŋχan ɔs ɔjumats,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 jȯl raɣatɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" tɔ̄rum lap mėnas,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,uniq,sp,uniq,weak,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 mā lāp mėnas,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,uniq,sp,uniq,weak,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 χȯsa χujas,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" man wat'i χujas,",0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 nɔχ ti sajkalas,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
" akw mat ērt pal'aɣetəl sı̮iti,",0,A,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,ref,sp,nuniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 wit t’ɔlɣanēte sı̮ı̯ti,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
 ta wit t'ɔlɣanete kann ta waŋki tuw,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Ob_Chernetsov_47_MMXAP_final.xlsx - Sheet1.csv
