Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
"pȯ̭r tēɣt, ",1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ajeɣt,X,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" ꞩɔpilasət, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"aku χɔ̄təl ɔ̄lsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" kit χɔ̄tɒl' ɔ̄lsət, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
Mȯꞩ χum lāwi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Juw-minu̮ŋkwe ēri,0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 ūsm ɔ̄tər ɔ̄jka lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 - Minuŋkwe naŋən χuńt rɔu̯s,0,INF-A,AV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" ꞩɔpitaχtası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
minmı̮ɣtası̮ɣ juu̯ ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
Juw joχtəsı̮ɣ mātēn,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" El-ɔ̄lmı̮ɣtası̮t, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
el-χulmı̮ɣtasət,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Jau̯ jāli mini wȯrəŋ mā, witəŋ ma",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Jäɣāɣite tuwajti: lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" - Am mȯlal l'ul' wārsum, ",1,A,APV,NoPtcl,pst,ind,none,pfv,1,sg,pron,top,sp,uniq,strg,U,abst,barenp,typid,nonsp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ań manurəl ɔ̄leɣu̮m,0,A,V,NoPtcl,npst,ind,quest,pfv,1,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Akw χɔ̄tɒlı̮ɣ jēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
mańē nupəl lāwi - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
χȯttal' jālimēn,0,A,V,NoPtcl,npst,ind,none,pfv,1,du,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"masχatsı̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
āstəsı̮ɣ i ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
minmı̮ɣtası̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" χɔ̇sa minası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"wat'i minası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
jān jȯχtəsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
