Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" Nȯrkȯləŋ χum palt totwes,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
potwatal toχ ta totwes,X,P,V,ta,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 ań ali noltaŋ pāŭlt ta ɔ̄ńꞩawe,X,P,V,ta,npst,ind,none,npfv,I,sg,zero,act,sp,uniq,strg
 tá nātawet. ,0,P,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 tá nātawet. ,0,P,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 χɔsa man wāti nātawest,0,P,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 ɔs ta nātawət,0,P,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 ɔs ta nātawət.,0,P,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
" Wɔr uj sɔ̄ten puwwəs,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,top,sp,uniq,strg
 wit χul sɔ̄tēn puwwəs,X,P,PV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,top,sp,uniq,strg
akw mat ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
akw māt ɔ̄s ńɔ̄χs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
akw māt ɔ̄s nɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s nɔ̄χs χāŋχtuwes,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s ta nɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
akw mat ɔ̄s ńɔχs χāŋχtuwes.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
ti èti-|mawew.,0,P,V,ti,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,sap
ta totaweı̮ɣ.,X,P,V,ta,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg
"χottal' tottaweı̮ɣ, ",X,P,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
ta totaweı̮ɣ.,X,P,V,ta,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
ti totipawesı̮ɣ.,X,P,V,ti,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
"at ɔ̄ı̯awēn, ",0,P,V,NoPtcl,npst,ind,neg,pfv,H,du,zero,top,sp,uniq,sap
sɔ̄l' ta ɔ̄ı̯ilmatwes.,0,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
kinsaweı̮ɣ.,X,P,V,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg
ul'a ta tuꞩtuwes.,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
"akw ērt ti totipawesət, ",X,P,V,ti,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
-kun ı̯irχatne kan wāruŋkwe ēri!,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,typid,sp,nuniq,nfam
ul'ı̯iu̯ sāɣruŋkwe ēri.,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,typid,sp,nuniq,nfam
ul'ı̯iu̯ sāɣresət.,1,A,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,nuniq,strg
wārim utət nɔŋχ taɣtalawesət.,X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,barenp,ref,nonsp,nuniq,nfam
"an mis χum, ɔs χumı̮ɣ kon ta {kanna} wowwesət.",X,P,PV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,fam,sp,uniq,strg
akw ērt sālitti pɔ̄swesət.,X,P,PV,ti,pst,ind,none,pfv,A,pl,barenp,ref,sp,nuniq,nfam
ı̯ir sāli puw̯uŋk-|we ta patsət.,0,A,PV,ta,pst,ind,none,pfv,A,pl,barenp,ref,sp,uniq,weak
"ı̯ir sāli, sāt sāli pūwwes.",X,P,PV,NoPtcl,pst,ind,none,pfv,A,pl,barenp,ref,sp,uniq,weak
neı̮ɣwesət.,X,P,V,NoPtcl,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg
kan ōwəln tuw̯ ta neı̮ɣwesət.,X,P,V,ta,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg
ta wow{w}awe.,X,P,V,ta,npst,ind,none,npfv,H,sg,zero,uniq,sp,uniq,weak
"tuwəl ńila oln āni unttuwes,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,barenp,ref,sp,uniq,weak
tuu̯ ta rottumlawəs.,0,P,V,ta,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
"ɔχsar sou̯ tuu̯ ta χɔsɣawet, ",X,P,PV,ta,npst,ind,none,npfv,A,pl,barenp,ref,sp,nuniq,weak
tuu̯ ta tāɣatawēt.,X,P,V,ta,npst,ind,none,npfv,A,pl,zero,top,sp,nuniq,strg
M.SX tau̯ ta tāɣəltawe. ,X,P,PV,ta,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
"ań taı̯ maɣəs ta sawit miwe, ",X,P,PV,NoPtcl,npst,ind,none,pfv,I,mass,demnp,ref,sp,nuniq,weak
ta pal aꞩ u̯ou̯u̯aw̯e ,X,P,PV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,uniq,sp,uniq,weak
an ɔ̄s oln anat ūnttuwesət.,X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,barenp,ref,sp,nuniq,weak
ɔ̄s ta miwe.,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
"ɔ̄s ńɔ̄χsəl, ɔ̄χsarəl taɣataw̯e.",X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
tau̯ ta poı̯təltawes,0,P,PV,ta,pst,ind,none,pfv,A,sg,pron,top,sp,uniq,strg
ań χumı̮ɣ wowaweı̮ɣ.,X,P,PV,NoPtcl,npst,ind,none,pfv,H,du,barenp,fam,sp,uniq,strg
"-āt'im, mat pors, wos tēweı̮ɣ!",X,P,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
J.U. ɔ̄ı̯ka ta wou̯awe.,X,P,PV,ta,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
ań tuwəl man tēŋkwe man ti marəltawesuw̯!,0,P,PV,ti,pst,ind,none,pfv,H,pl,pron,top,sp,uniq,sap
"mēŋkwət, siraı̯ totı̮ɣpame mus {kot'lanenəl17} ta wotumtawesət.",X,P,PV,ta,pst,ind,none,pfv,H,pl,barenp,fam,sp,uniq,strg
ań kēr āŋkwal titt χuı̯am ut sāt lomtiɣ ta manumtawes. ,X,P,PV,ta,pst,ind,none,pfv,A,sg,barenp,act,sp,uniq,strg
ań  pol'iɣ maniɣtim lomtane ul'an ta paltwesət. ,X,P,PV,ta,pst,ind,none,pfv,I,pl,possnp,act,sp,uniq,weak
ta ꞩarwes. ,X,P,V,ta,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
"ēti χuı̯mēte KSU ańꞩar puŋke pal'=às, ta pēlwès. ",X,P,AV,ta,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
pal' as pēlwès ,X,P,AV,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
"kusn. pālt totwes, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
kēr pȯꞩka kiwərn pinwès ,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 lap ta rātwes.,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
āsna nal=pȯwartawès.,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"asna  nal-pȯwartawès, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
ı̯āŋk wɔ̄nχa sāɣrŭwès.,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,barenp,typid,nonsp,nuniq,nfam
tuu̯ witn ta táratawès.,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"witn ta taratawès, ",X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
χottal' ta nātawe. ,0,P,V,ta,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" tı̮ɣ ti totime, āte ti pāsi. ",X,P,V,ti,pst,evid,none,npfv,H,sg,zero,act,sp,uniq,strg
ti l'ɔ̄ŋχ χɔ̄sit ti totime. ,X,P,V,ti,pst,evid,none,npfv,H,sg,zero,top,sp,uniq,strg
tı̮ɣəl ti witna ti tārtime,X,P,V,ti,pst,evid,none,pfv,H,sg,zero,act,sp,uniq,strg
"kāte toχ tāı̮ɣmatwes, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,weak
sɔ̄rt ɔ̄ı̯ka ańtəl nɔ̄ŋχ amartawès.,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
paɣ powartawès. ,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
wātan paɣ tā pȯwartawès. ,X,P,V,ta,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
pūꞩku pattate sɔ̄rup an'təl tāra pēlwes.,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,possnp,top,sp,uniq,strg
a manurəl alwes? ,X,P,V,NoPtcl,pst,ind,quest,pfv,H,sg,zero,act,sp,uniq,strg
puŋna sup ta totwès. ,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,nfam
ɔ̄χsɒr ɔ̄ı̯ka n'ol tal'aχn tuw̯ ta pinwəs.,X,P,V,ta,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
kat pattaɣenəl kol noretn ta ker sol'il ta ı̯anı̮ɣtawes. ,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
samaɣe tara puu̯tmawesı̮ɣ.,X,P,PV,NoPtcl,pst,ind,none,pfv,I,du,possnp,uniq,sp,uniq,weak
"kit samaɣe akw palèn ꞩaı̯ ani unttuwes, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,typid,nonsp,nuniq,nfam
mot palèn ɔ̄s ꞩaı̯ ani unttuwes. ,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,typid,nonsp,nuniq,nfam
" KSU nupəl unttum ꞩaı̯ āni,  saw̯na wos ꞩurɣawe ",X,P,PV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,uniq,strg
am ꞩaı̯ anim sau̯na wos ꞩur-ɣawe,X,P,PV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,uniq,strg
"ul'a paltwes, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,typid,nonsp,nuniq,nfam
ul'an ta woꞩkasawes.,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
nul ta pāltwes ,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
ker sol'aɣenəl  χɔ̄t manumtawes ,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
ul'an ta pāltwes,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
