Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 mēn kēlpamen mańiɣ lawen,X,P,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,strg
 alwesı̮ɣ ,X,P,V,NoPtcl,pst,ind,none,pfv,A,du,zero,act,sp,uniq,strg
kȯn-χartwesı̮ɣ,X,P,V,NoPtcl,pst,ind,none,pfv,A,du,zero,act,sp,uniq,strg
" sājt sāɣ ruwes, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,fam,sp,uniq,strg
"kiwərn, māɣwəs",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 sājt kȯn=wȯjwes ,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg
 kȯn=χārtwes,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tɔ̄re tau̯ pȯ̭ŋken lēpwes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
 Āŋkwe nujsalawes,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 āpꞩite nujsalawes,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
" āŋkwe, āpꞩite āpan χuju̮pta wesı̮ɣ, ",X,P,PV,NoPtcl,pst,ind,none,pfv,A,du,possnp,act,sp,uniq,strg
 sunn̥ tāltuwesət,X,P,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 Juw tɔ̭̇̄lwesət,X,P,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 Wȯrt ɔlnut ńawramentəl pāsanəl ūnttu̮wesı̮ɣ,X,P,PV,NoPtcl,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg
" EA χāsap sāin pall wārwes, ",X,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,ref,sp,nuniq,nfam
" tau̮ EA ꞩańe pȱt wārwəs, ",X,A,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,strg
tau ɔs majwes,X,P,PV,NoPtcl,pst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg
" manarəl miwen, ",X,P,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg
 kitet ēt jȯnɣawe,X,P,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,act,sp,uniq,strg
" ɔ̄s pȱt wārı̮ɣlawe, ",X,P,PV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,strg
taw̯ miwe,X,P,PV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg
 χurmit et jȯnɣawe p …,X,P,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,act,sp,uniq,strg
 miwe …,X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 ńilit ēt jȯnɣawe,X,P,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,act,sp,uniq,strg
"āɣikwe, ti ēt ti purawamēn",X,P,V,ti,npst,ind,none,pfv,1,du,zero,act,sp,uniq,strg
 kant majawes:,0,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" ēlmite tarməl pum punawe kē,",X,P,PV,NoPtcl,npst,irr,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
" pum supı̮ɣ mi nawe,",0,P,PV,NoPtcl,npst,ind,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
" ań mań χum kantmawes,",0,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 kātaɣe sāɣrapim jui palt nāŋk jiw sȯł'il samaɣe ɔs tara puwtwe sı̮ɣ,X,P,PV,NoPtcl,pst,ind,none,pfv,I,du,possnp,uniq,sp,uniq,weak
" sime ēttı̮ɣlawe,",0,P,PV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,uniq,sp,uniq,weak
 ālpite pɔł'awe,0,P,PV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,uniq,sp,uniq,weak
