,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 ɔ̄χsɒr ɔ̄ı̯ka ı̯uu̯ ta nēı̮ɣlɒs,112,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
 mulɣa ta χaı̯təs,113,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 tuu̯ ı̯ɔxtəs,114,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 χum mańꞩiŋ l'ul'mətɒs,115,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" pal'aɣenəl takwite, puwəste,",116,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,ref,sp,uniq,nfam
" kūꞩe χot ta āŋχwətaste,",117,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
 ɔ̄χsɒr sɔw̯ kūꞩe nɔŋχ ta taɣataste,118,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 nas āt'i,119,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 nɔχsət pori ta taɣatamane,120,1,AP,PxV,ta,pst,evid,none,pfv,H,sg,zero,ref,sp,nuniq,nfam,I,pl,barenp,act,sp,uniq,strg
" - ta rau̯tsasane, muli paln,",121,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
 ań mūnt χoı̯təl,122,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 takwi akw χumitèn poχɒn tuu̯ ta ūntəs,123,0,A,AxV,ta,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,,,,,,,
 n̄árane = waı̯ane aŋχwsalasane,124,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,w_brdg
 ı̯āŋkəl pōl'a mət,125,0,A,V,NoPtcl,pst,evid,none,pfv,I,pl,zero,act,sp,uniq,strg,,,,,,,
 ta ńarat = waı̯t kȯl kann pinkète KPN kwalaipəs,126,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
 ńarat = waı̯t álmáı̯əs,127,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,act,sp,uniq,strg
" tuı̯tanəl, ı̯ankanəl araꞩ wātan tuu̯ ta parɣaltasane",128,1,AP,PxV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,dpossnp,ref,sp,nuniq,w_brdg
" tuu̯l nɔ̄l ta taɣatɒlapsane,",129,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
 wos toseɣt,130,0,A,V,NoPtcl,fut,opt,none,npfv,I,pl,zero,top,sp,uniq,strg,,,,,,,
 kȯlkant akwaı̮ɣ wit,131,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 χot seı̮ɣsaste,132,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,mass,zero,top,sp,uniq,strg
 tuu̯l paı̮ɣ kōt'il' pālèn ta ūntəs,133,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 nēm χotpa at suitı̮ɣli,134,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,negp,undef,nonsp,nuniq,nfam,,,,,,,
 suı̯tal ɔ̄leɣt,135,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
 nēm χotı̯ut at potərti,136,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,negp,undef,nonsp,nuniq,nfam,,,,,,,
" suital ūnli menəl, kon χɔ̄tpa ı̯ɔ̄χtnete suite",137,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam,,,,,,,
 ı̯osa parɣaltanete suiti,138,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam,,,,,,,
" ı̯osa χot lɔ̄χsaɣe,",139,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,nuniq,nfam,I,du,barenp,ref,sp,nuniq,nfam
" tustəsaɣe,",140,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,nuniq,nfam,I,du,zero,ref,sp,nuniq,nfam
 āwi ti pūswes,141,X,P,PV,ti,pst,ind,none,pfv,,,,,,,,I,sg,barenp,act,sp,uniq,strg
" āwi pūswes,",142,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,barenp,act,sp,uniq,strg
 sɔ̄u̯r ɔ̄ı̯ka ta neı̮ɣla pɒs,143,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
" mulɣa ta sulintɒs, muli pāln",144,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" tuu̯ ı̯ɔ̄χtəs,",145,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
