,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" juv ꞩalteɧum ꞩorum, ",198,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 kon oleɧum sorum,199,0,A,V,NoPtcl,fut,ind,none,npfv,1,sg,zero,top,sp,uniq,sap,,,,,,,
" juv ꞩaltas,",200,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 ta ráthāti,201,0,A,V,ta,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" luve aɧmьŋьɧ jemtme sujti, ",202,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 novьle aɧmьŋьɧ jemtme sujti,203,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
" Luve janьɧmame sujti, ",204,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 n̩ovьle janьɧmame sujti,205,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 ꞩalьɧ oln kuraꞩ kotlen holam,206,0,A,AxV,NoPtcl,pst,evid,none,pfv,I,sg,barenp,act,sp,uniq,strg,,,,,,,
 juv ta minas,207,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" -e-ē apьɧkve, naŋ taj hum ta olmьn",208,0,A,AxV,ta,pst,evid,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" am an̩ ti salьɧ oln puvlьn kolum paltьɧlavem, hurum pьɧum janьɧ pьɧum jotalakete ꞩalьɧ oln kuraꞩe, pal loptane tů̄p hot patseɧt",209,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,pl,possnp,ref,sp,nuniq,nfam,,,,,,,
 Hun̩t ꞩaritim sorup n̩ovьl toh totves,210,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,mass,barenp,ref,sp,nuniq,nfam
" sorup n̩ovьle pusьn tes, ",211,1,A,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,mass,possnp,act,sp,uniq,strg
 pot n̩ane pusьn tes,212,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,act,sp,uniq,strg
