,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 ɔ̄s akw ta sirəl kȯl anlan tuu̯ nēı̮ɣwès,59,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
" ta χum ꞩɔ̄pitame χɔ̄tɒl, mot kōlt, χɔ̄ti kȯln totwès, ",60,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
χumāɣməl ı̯ēmtəs,61,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
 āɣməl ı̯ēmtəs,62,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,typid,sp,nuniq,nfam,,,,,,,,
" āɣməl ı̯ēmtme χūrmit χɔ̄tɒl, sōrumn ɔ̄s ta pats",63,0,A,V,ta+,pst,ind,none,pfv,H,sg,zero,typid,sp,nuniq,nfam,,,,,,,,
" ta χum sorumpats, ",64,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,demnp,typid,sp,nuniq,nfam,,,,,,,,
āni wisanəl,65,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,typid,nonsp,nuniq,nfam,I,sg,barenp,act,sp,uniq,strg,
 ɔ̄s χūrmit kȯln totwès,66,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
" χurmit kȯln tūlwes,",67,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
  ɔs kȯl aulan mulɣa nēı̮ɣwès,68,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
" mulɣa neı̮ɣwes, ",69,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
"tuwl ta kȯlt ɔ̄lne χum ɔ̄s āɣməl ı̯ēmtəs, ",70,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
ɔ̄s āɣməl ı̯ēmtme χurmit χɔ̄tɒl ta sȯrumpats,71,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,typid,sp,nuniq,nfam,,,,,,,,
 tuwəl laweɣt,72,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,typid,nonsp,nuniq,nfam,,,,,,,,
 - χuml'e wası̮ɣ ɔńꞩew? ,73,X,A,V,NoPtcl,fut,ind,quest,npfv,1,pl,zero,act,sp,uniq,sap,,,,,,,,
