,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 WχϽ lawi - ,333,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
an kasəŋ tuw tı̮ɣ ı̯oχten,334,0,A,V,NoPtcl,fut,imp,none,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
 wası̮ɣ at kantmalteɣt,335,0,A,V,NoPtcl,npst,ind,neg,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
 ań ta ɔleɣt,336,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
" ńaı̮t āɣi kaı̯s, ",337,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
te lāwi -,338,0,A,V,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ti sat kȯln ı̯uu̯ tulı̮ɣlawes, ",339,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,fam,sp,uniq,strg,
tuwəl sāt ēlŭmχolɒs sorumpats,340,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,fam,sp,uniq,strg,,,,,,,,
 manrı̮ɣ ı̯uu̯ tuləslən,341,1,AP,V,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg,
 ta χāl'n tuu̯ wos nēɣuŋkwe,342,X,V,V,NoPtcl,fut,opt,none,,,,,,,,,,,,,,,,
 ı̯orn āɣi ɔs kaı̯is,343,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 tuwəl lāwi - ,344,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"ti χɔtal tit ti ɔ̄li, ",345,0,A,V,ti,npst,ind,none,npfv,I,sg,zero,act,sp,uniq,strg,,,,,,,,
"χāl'èt χolit kit χum pērı̯en, ",346,1,A,PV,NoPtcl,fut,imp,none,,2,pl,zero,act,sp,uniq,sap,H,du,barenp,typid,sp,nuniq,nfam,
"ꞩōpiten, pȯtwataı̮ɣ ı̯aluŋkwe",347,0,INF-A,VP,NoPtcl,fut,imp,none,,2,pl,zero,top,sp,uniq,sap,,,,,,,,
 χolitan ti ȯln āni ı̯aŋk nēnsatə sɔ̄wəl perı̮ɣteln,348,1,AP,PxV,NoPtcl,fut,imp,none,,2,pl,zero,top,sp,uniq,sap,I,sg,demnp,act,sp,uniq,strg,
 lap nēɣelen ,349,1,AP,V,NoPtcl,fut,imp,none,,2,pl,zero,top,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg,
wos totitēn,350,1,AP,V,NoPtcl,fut,opt,none,,H,du,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
 tāɣtn wos totawe,351,X,P,V,NoPtcl,fut,opt,none,,,,,,,,,I,sg,zero,act,sp,uniq,strg,
" ali ńallaŋt nȯrkȯləŋ χum lāu̯ltawe,",352,0,P,PV,NoPtcl,npst,ind,none,npfv,,,,,,,,H,sg,barenp,typid,sp,uniq,nfam,
 tuu̯ mus χāpəl wos totawe,353,X,P,V,NoPtcl,fut,opt,none,,,,,,,,,I,sg,zero,act,sp,uniq,strg,
" tuu̯ ı̯oχti, ",354,0,A,V,NoPtcl,fut,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
ta χum tuu̯ ta wı̮ɣte,355,1,AP,AV,ta,fut,ind,none,pfv,H,sg,demnp,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
 ɔ̄ꞩne māte tā,356,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" ńaı̯t āɣi toχ ta kaı̯a:slɒs, ",357,0,A,AxV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
ańɔ̄ꞩne maté ta χɔ̄ntɒste,358,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_cont,
 ńaı̯tən ta χɔ̄ntwes,359,1,P,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,zero,ref,sp,uniq,w_cont,
" Nȯrkȯləŋ χum palt totwes,",360,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
 ı̯aŋk sāli sɔ̄wəŋ tāɣəl ta wiste ,361,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
potwatal toχ ta totwes,362,X,P,V,ta,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
 nēm χoti pāŭlt toχ at lāweɣt ,363,0,A,V,NoPtcl,npst,ind,neg,npfv,H,pl,zero,typid,nonsp,nuniq,nfam,,,,,,,,
“am at mineɣum”,364,0,A,AV,NoPtcl,npst,ind,neg,pfv,,,,,,,,,,,,,,,
 kos χoti pāŭln ı̯oχteɣt ,365,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,typid,nonsp,nuniq,nfam,,,,,,,,
mot kit χum ēla ta tȯteı̮ɣ,366,X,A,AV,ta,npst,ind,none,npfv,H,du,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
" an nȯrkȯləŋ χum ta wis, ",367,X,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
sɔ̄təŋı̮ɣ ta ı̯ēmtəs,368,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ań ali noltaŋ pāŭlt ta ɔ̄ńꞩawe,369,X,P,V,ta,npst,ind,none,npfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
 ńara ı̯uwan ɔı̯ke ali ńaltɒŋ pāu̯l,370,,,,,,,,,,,,,,,,,,,,,,,
