,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 takusi uj sɔ̄t tawenəl χun’ pȱjkimen. ,48,1,A,PxV,NoPtcl,fut,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg,
 āꞩēn ɔ̄jka nɔməsi:,49,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 „l’ul’sɒŋ ta lāwsı̮ɣ ɔs!”,50,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 Ͻs ta narı̮ɣtaχtasət,51,0,A,V,ta+,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
 ɔs ta nātawət.,52,0,P,V,ta+,npst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,strg,
 wȯjkan witūp χulɒn āsn jɔχtəst. ,53,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 māχu̮m akwaı̮ɣ wȯjkan n’ɔlpa n’ɔləŋ χul ꞩun’əl (kasəl) ūnleɣt. ,54,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,nonsp,nuniq,nfam,,,,,,,,
 āꞩēn ɔ̄jka lāwəsi:,55,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
" „Tur χaleu̯, as χaleu̯ āken ūnlən mān jɔχtəsuu̯{ən}",56,0,A,V,NoPtcl,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
 pū̬rlaχten. ,57,0,A,V,NoPtcl,fut,imp,none,npfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 tuji χul sɔ̄t pȱkēn,58,1,A,PV,NoPtcl,fut,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam,
 taku̯si uj sɔ̄t pȱjkēn”,59,1,A,PV,NoPtcl,fut,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam,
 pı̮ɣaɣe lāweı̮ɣ,60,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 - men tuji χul sɔ̄t tawenəl χun’ pȱjkimēn. ,61,1,A,APxV,NoPtcl,fut,ind,quest,npfv,1,du,pron,act,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam,
 taku̯si uj sɔ̄t tawenəl χun’ pȱjkimēn.,62,1,A,PxV,NoPtcl,fut,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam,
 āꞩēn ɔ̄jka nɔməsi:,63,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 „pupı̮ɣn ērtal l’ul’ lātəŋ ta lāwsı̮ɣ.”,64,1,A,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,w_cont,
 kȯl wārsət,65,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam,
 ɔ̄lmı̮ɣtasət. ,66,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 Mirn akwaı̮ɣ χul tɔtawə. ,67,1,P,AxPV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,nonsp,nuniq,strg,I,mass,barenp,ref,nonsp,nuniq,w_prcp,
 tēn alı̯ꞩlaŋkwə ti patsı̮ɣ.,68,0,INF-A,APV,ti,pst,ind,none,pfv,H,du,pron,act,sp,uniq,strg,,,,,,,,
 mɔt nupəl jaleı̮ɣ,69,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 - wȯn’ꞩal! ,70,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 ɔs mineɣ - ,71,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 - wȯn’ꞩal!,72,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
tātal χāpɒl juwı̮ɣ. ,73,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
" ta kɔs alı̯ꞩlası̮ɣ,",74,0,A,V,ta+,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 alɣal’ ti mineı̮ɣ,75,0,A,V,ti,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 - wȯnꞩal,76,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 lāweı̮ɣ: ,77,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
