,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 ɔ̄nipēn χara kann tȯtwes,179,1,P,AxV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
 tuwl ɔ̄nipēn χaństawes:,180,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
" - naŋ tuł'al, pajal χɔltı̮ɣlawes",181,0,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
" ɔ̄nip ta mėnas,",182,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 takket ta χul'təs,183,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 mań mȯꞩ nē pı̮ɣe ńarm χaln nɔχ ālməste,184,1,AP,APxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg,
 ta jȯmmı̮ɣtɒs,185,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tarəŋ ke χɔ̄nti,",186,1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
" tarəŋ jiwe kȯji,",187,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam,
" tȯwəŋ jiw ke χɔ̄nti,",188,1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
 tȯwəŋ jiwe kȯji,189,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam,
" tɔχa kȯjimate, jȯmimate akw mat wɔŋχan ɔs ɔjumats,",190,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
