,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
usьŋ otьr ojka piɧatn ahsa laves,297,1,P,AV,,pst,ind,,pfv,H,pl,barenp,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,
i apan hujptaves.,298,X,P,V,,pst,ind,,pfv,,,,,,,,A,sg,zero,top,sp,uniq,strg,
vortolnut {eka} n̩avremeɧ os kona lakasaseɧa.,299,0,A,AxV,,pst,ind,,pfv,A,du,barenp,fam,sp,uniq,strg,,,,,,,,
Juv totьma varmil̩anьl.,300,,,,,,,,,,,,,,,,,,,,,,,
"alpi<ə>l <ū>sьŋ <ō>tьr <ō>jka piɧane jot, mashatast",301,0,A,AxV,,pst,ind,,pfv,H,pl,barenp,fam,sp,uniq,strg,,,,,,,,
i minmiɧtast v<ō>rt<ō>lunt v<ō>ŋha palt.,302,0,A,V,,pst,ind,,pfv,H,pl,barenp,fam,sp,uniq,strg,,,,,,,,
v<ō>rt<ō>lunt v<ō>ŋha palt johtast.,303,0,A,V,,pst,ind,,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka v<ō>rt<ō>lnut nupi<ə>l ro<ɔ>ŋh<ı̮>ɧli<ə>s:,304,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
"V<ō>rt<ō>lnut kona kallen,",305,0,A,V,,pst,imp,,pfv,2,sg,barenp,ref,sp,uniq,sap,,,,,,,,
"si{ə, ė}r manajanьt jo<ɔ̄>r o<ɔ̄>n̩ꞩeɧьn.""",306,1,A,PV,,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,I,abstr,barenp,typid,nonsp,nuniq,nfam,
Ti l<ā>t<n̩>e jujipalt v<ō>rt<ō>lnut <ŏ>mɧьman kona lakas[i]s.,307,0,A,AxV,,pst,ind,,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka piɧatn ꞩama ratlьɧtaves.,308,1,P,AxV,,pst,ind,,pfv,,,,,,,,A,sg,zero,top,sp,uniq,strg,
