,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
,0,,,,,,,,,,,,,,,,,,,,,,,
Mojt:,1,,,,,,,,,,,,,,,,,,,,,,,
Man̩ mosne jaɧpiɧentl oleɧa.,2,0,A,AV,,npst,ind,,npfv,H,du,barenp,uniq,sp,uniq,nfam,,,,,,,,
Hoʂa olseɧa.,3,0,A,V,,pst,ind,,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
Vati olseɧa.,4,0,A,V,,pst,ind,,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
/toha/? olьmaten. Jaɧpiɧe jaɧaite nupil potьrtaŋke pats.,5,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
Men homas akjot olьŋke patьmen əlale.,6,0,INF-A,AxPV,,npst,ind,quest,pfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
Torom toha lavs:,7,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,uniq,sp,uniq,w_glob,,,,,,,,
"Jaɧaite jeɧpiɧe jot, olaŋke at-rovi.",8,0,INF-A,AV,,npst,ind,neg,npfv,,,,,,,,,,,,,,,
Potьrtь jaɧpiɧe os:,9,X,A,VA,,npst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
"nehotpa tav kinsi hum,",10,1,A,AVP,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam,H,sg,barenp,typid,nonsp,nuniq,nfam,
a humhotpa kinsi ne.,11,1,A,AVP,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam,H,sg,barenp,typid,nonsp,nuniq,nfam,
 Tьh{i}maɧs menamen akjot olaŋkv at rovi.,12,0,INF-A,AV,,npst,ind,neg,npfv,,,,,,,,,,,,,,,
Jaɧaite jaɧpiɧe nupil potьrtaŋke pats.,13,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
Men homs akjot olsmen,14,0,A,AxV,,pst,ind,,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
elale olьmen.,15,0,A,V,,npst,ind,,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
Jaɧpiɧe lavi,16,0,A,V,,npst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
ate men akjot at olьmen:,17,0,A,AxV,,npst,ind,neg,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
"Hunta elamhomast olaŋke pateɧt,",18,0,INF-A,APV,,npst,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
tan os toha pateɧt olaŋke.,19,0,INF-A,AxVP,,npst,ind,,npfv,H,pl,pron,typid,nonsp,nuniq,strg,,,,,,,,
"Jaɧpiɧin ne jaɧpiɧe palt minnaŋke patь,",20,0,INF-A,AxPV,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,strg,,,,,,,,
jaɧaɧьŋ hum jaɧaɧьte vuŋke pati.,21,0,INF-A,APV,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,strg,,,,,,,,
mir telьɧlaŋke pateɧt.,22,0,INF-A,APV,,npst,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
Jaɧpihe at hontlas joɧaɧite,23,0,A,AV,,pst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
minas mat kaŋ.,24,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Taki maŋn johts,25,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
kol vars.,26,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Mań moꞩne jaɧpiɧentьl tenkitent mat oleɧa.,27,0,A,AxV,,npst,ind,,npfv,H,du,barenp,act,sp,uniq,strg,,,,,,,,
"s<ē>r vor vur {wu>r} vor {wɔ̯̄r} samt, ten konьpalena n<ē>mat hotpa at<'>im.",28,,,,,,,neg,,,,,,,,,,,,,,,,
"Toha o<ɔ̄>lь<i>mat<ē>n jaɧpiɧe, jaɧaɧьte nu<>>pil {potьrtaŋke} pats.",29,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
M<ē>n humus akjot ēlal̩e ɔ̄laŋke {patьm<ē>n}.,30,0,INF-A,AxPV,,npst,ind,quest,pfv,1,du,pron,act,sp,uniq,sap,,,,,,,,
 Jaɧaɧьte {potьrtaŋke} pats:,31,0,INF-A,APV,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
"att'e, m<ē>n hum<m>us o<ɔ̄>lsm<ē>n",32,0,A,AxV,,pst,ind,,npfv,1,du,pron,act,sp,uniq,sap,,,,,,,,
" <ē>lal̩e ō<ɔ̄>laŋke patь<i>men""",33,0,INF-A,PV,,npst,ind,,npfv,1,du,zero,top,sp,uniq,sap,,,,,,,,
Jaɧpiɧe os {pats} potьrtaŋke:,34,0,INF-A,AxVP,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
"""T<ɔ̄>r<u̮>m tɔha at l<ā>vs jaɧaɧьte jaɧpiɧe jot ō<ɔ̄>laŋke"".",35,0,INF-A,AxVP,,pst,ind,neg,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
Ɔs potьrtь:,36,X,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
m<ē>n akan<=>ke mi<ń>ьmen[n],37,0,A,AV,,npst,irr,,pfv,1,du,pron,act,sp,uniq,sap,,,,,,,,
hunta <ē>l<ɒ>mholast olaŋke pateɧьt,38,0,INF-A,APV,ta+,npst,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
tan tah jaɧpiɧantьl jaɧaɧьjantьl akjot olaŋke pateɧьt.,39,0,INF-A,AxPV,,fut,ind,,npfv,H,pl,pron,typid,nonsp,nuniq,strg,,,,,,,,
M[ā]ɧum tah t<ē>lьɧ<ɣ>a<ŋ́>ke pateɧьt.,40,0,INF-A,AxPV,,fut,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
Jaɧpiɧe kantmajaves,41,0,P,PV,,pst,ind,,pfv,,,,,,,,H,sg,possnp,act,sp,uniq,strg,
jaɧ<ā>ɧьte l<ā>tьŋ<n̥> at <(> huntlьs <).> {χȯntləs},42,0,A,V,,pst,ind,neg,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
kantmima ꞩiretьl noh {nɔ̄χ} l̩ul̩matas,43,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
mashatas,44,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
mo<ɔ̄>t m<ā>nn mińas.,45,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"ser vor vur vor s<ā>mt, ta h<ū>ripa jɔmas kan ho<ɔ̄>nt<s̥>.",46,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
"To<ɔ̄>ro<u>mn t<ē>lo<u>m, m<ā>n t<ē>lo<u>m janьɧ jiva<æ>tnьl kol <ū>nt<t>ь<ə>s.",47,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
Ho<ɔ̄>sa o<ɔ̄>lme vat<'>i o<ɔ̄>lme jujipalt no<ɔ̄>saŋke pats.,48,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""Hum<m>us am amk<ē>mt oleɧom {ɔ̄lèɣu̮m},",49,0,A,AxV,,npst,ind,quest,npfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
"olne ju<>>rt mestaɧ jivnьl ne vareɧom."" {wārèɣu̮m}",50,1,A,PV,,npst,hort,,pfv,1,sg,zero,top,sp,uniq,sap,H,sg,barenp,typid,nonsp,nuniq,nfam,
"Jivńьl ne v<ā>rs,",51,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,strg,
"jo<ɔ>mas ūlam<l̥> masta<ɒ>ste,",52,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
"to<ɔ̄>r<l̥> pi<u>n<ł>taste,",53,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
paln <ū>n<t>ta<ɒ>ste.,54,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
Kona kali,55,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
juv ꞩalti,56,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
su<>>nsite,57,1,AP,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,
"ꞩar n<ē> <ū>nl<i>,",58,0,A,AV,,npst,ind,,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
kaseɧ {kası̮ŋı̮ɣ} o<ɔ̄>laŋke {j<ē>mt[i]<s̥>}.,59,0,INF-A,PV,,npst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
Man̩ moꞩne jaɧpiɧe minam jujipalt. Tak<k><ē>t<è> n<ē>tal humtal m<ā>t<ē>t o<ɔ̄>lьmate nomsi:,60,0,A,AxV,,npst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
"""am jaɧpiŋ<ɣ>um kinsaŋke jaleɧum.",61,0,INF-A,APV,,npst,hort,,pfv,1,sg,pron,act,sp,uniq,sap,H,sg,possnp,fam,sp,uniq,strg,
Hotma<u>s tav o<ɔ̄>li,62,0,A,AV,,npst,ind,,npfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,
manь<ə>r tav v<ā>ri,63,1,A,PAV,,npst,ind,,npfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,
"noh sunsilom"". {nɔ̄χsu>nsilu̮m}.",64,1,AP,V,,npst,hort,,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
man̩ moꞩne mashatas,65,0,A,AV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
pi<u>nat[a]s,66,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
{jaɣāɣi} kona k<ȧ>ls,67,0,A,V,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
<ē>lal̩<l'>e jommiɧti<ə>s. {jɔ̄mmı̮ɣtəs},68,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"Hosa torme, hosaɧ j<ō>mite,",69,1,AP,PxV,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,possnp,ref,sp,uniq,nfam,
vat<'>i torme vat<'>iɧ j<ō>mite {wat't'iɣ},70,1,AP,PxV,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,possnp,ref,sp,uniq,nfam,
akmater<t> hotpa kol k<ē>laŋke pat<s̥>,71,0,INF-A,APV,,pst,ind,,pfv,I,sg,barenp,ref,sp,uniq,w_prcp,,,,,,,,
l̩apan minas,72,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"su<>>nsiɣlite,",73,1,AP,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
jaɧpiɧe o<ɔ̄>ln<ē>te h<ū>ripa.,74,0,A,AV,,npst,evid,,npfv,I,sg,zero,top,sp,uniq,strg,,,,,,,,
"isnis l̩apan minas,",75,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"isnisnьl juvl̩e su<>>nsi,",76,X,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
jaɧpiɧe jun at<'>im.,77,,,,,,,neg,,,,,,,,,,,,,,,,
<ā>vin minas,78,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
juv ꞩalt<ə>s,79,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
t<ā>tla kol.,80,,,,,,,,,,,,,,,,,,,,,,,
palnupi<ə>l su<>>nsi,81,X,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"n<ē> <ū>nli,",82,0,A,AV,,npst,ind,,npfv,H,sg,barenp,ref,sp,uniq,w_prcp,,,,,,,,
kos kitьɧl̩ite,83,1,AP,V,,npst,ind,,npfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
at potь<ə>rti.,84,X,A,V,,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
l̩apan minas,85,0,A,V,,pst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"su<>>ns<ı̮>ɧlaŋke pat{<ə>}ste,",86,1,INF-AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
jaɧpiɧe jivne varo{u̮}m.,87,1,A,APV,,pst,evid,,pfv,H,sg,possnp,fam,sp,uniq,strg,H,sg,barenp,typid,sp,uniq,strg,
Jomas <ū>lamil mastawe,88,X,P,V,,npst,ind,,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
to<ɔ̄>ril pin<ł>tawe,89,X,P,V,,npst,ind,,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
ꞩar n<ē> <ū>nli.,90,0,A,AV,,npst,ind,,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
Man̩ moꞩn<ē>n jiv n<ē> <ā>lmajaves,91,1,P,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,top,sp,uniq,strg,
kolkann voꞩkasaves.,92,X,P,V,,pst,ind,,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
Man̩ moꞩn<ē> jiv n<ē> <ū>lam[i]t hot ahsane,93,1,AP,APV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,I,pl,barenp,act,sp,uniq,strg,
tav no[ɔ̄]h massane.,94,1,AP,AV,,pst,ind,,pfv,H,sg,pron,top,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg,
"Man̩ moꞩn<ē> s<ā>ɧrap vis,",95,1,A,APV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,w_prcp,
"jiv n<ē> s<ē>j sam, pors-sam janittьɧ rāv s<ā>ɣr<a>ɒste.",96,1,AP,PxV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,barenp,act,sp,uniq,strg,
Jiv n<ē> jiv sakane Man̩ moꞩn<ē>n kon pors <ā>n̩a jo<ɔ̄>lь<i> pal<n̥> punvest.,97,1,P,PAxV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,w_brdg,
man̩ moꞩne koln ꞩaltьs,98,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
jivn<ē> <ū>nlo<u>m kann <ū>nt<ə>s.,99,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
toha <ū>nlimate konn jaɧ<>>piɧ<>>e ti johtame sijtь.,100,0,A,AV,ti,npst,ind,,npfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
man̩ moꞩhum koln juiv ꞩaltьs,101,0,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
kol tak<ē>m ta r<ē>ɧiŋ.,102,,,,,,,,,,,,,,,,,,,,,,,
man̩ moꞩhum jiv n<ē>te nupi<l̩> su<>>nsi:,103,X,A,AxV,,npst,ind,,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
v<ā>rom jiv n<ē>te junshati.,104,0,A,AV,,npst,ind,,npfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
man̩ moꞩhum hot<=>ꞩav<u̯>təs,105,0,A,AV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
i a<ń>iɧlahtaŋke jiv n<ē>te palt laki<ə>s.,106,0,INF-A,PxV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
a<ń>iɧlahtas<e̮>ɧ,107,0,A,V,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
sipiɧlahtas<e̮>ɧ,108,0,A,V,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
<ē>l<al'e> o<ɔ̄>lmiɧtaseɧa.,109,0,A,V,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
Hosa olmen vati olmen jujipalt piɧ oʂseɧa.,110,1,A,PV,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,typid,sp,uniq,nfam,
ten o<ɔ>ln<ē>t<ē>n palь<i>t<ь>əl n<ē>te humite nupi<ə>l vi<ł̩>te at {taktalite},111,1,AP,AxPV,,npst,ind,neg,npfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
on̩ꞩe<u>m piɧ<ē>n hajtь<i>ɧtane<e> jan<ь>it<t>e<ı̮>ɧ jemti<ə>s.,112,0,A,AxV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
<ā>ꞩen n̩<ā>ll j<ɔ̄>vtьl v<ār>ves.,113,1,P,AxV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
<ā>ꞩe aliꞩlaŋke minam jujupalt kona k<ȧ>ls.,114,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
n̩<ā>l pahtaŋke pats:,115,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,nuniq,strg,
akmatert n̩<ā>le pors <ā>nj<á>n pats.,116,0,A,AxV,,pst,ind,,pfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,,
pors<ā>n̩at hotpa n<ē> {potьrtan<ē>te} sijt<ь>i.,117,0,A,AV,,npst,ind,,npfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
Toha l<ā>vi:,118,0,A,V,,npst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
Jiv n<ē> pors<ā>n̩<á>t,119,,,,,,,,,,,,,,,,,,,,,,,
"k<ā>te sajs,",120,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
"l<ā>ɧle sajs.""",121,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
"Man̩ moꞩhum piɧ ti l<ā>tь<ə>ŋ h<ȯ>ls,",122,1,A,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,demnp,ref,sp,uniq,w_prcp,
juv hajtьs.,123,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
s̩<ā>n̩e nupi<ə>l potь<ə>rtaŋke pats:,124,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
am kon n̩<ā>lo<u̮>m pohtь<i>man pors<ā>n̩<á>n pats.,125,0,A,V,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,strg,,,,,,,,
ak matert pors<ā>n̩<á>t hotpa ne potьrtaŋke {pats},126,0,INF-A,APV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
toha l<ā>vi:,127,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""Jiv ne porsan̩<á>t",128,,,,,,,,,,,,,,,,,,,,,,,
k<ā>te sajs,129,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
"l<ā>ɧle sajs.""",130,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
ꞩ<ā>ne l<ā>vi,131,0,A,AV,,npst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
naŋ p<ē>t ul v<ā>ren,132,1,A,APV,,npst,imp,neg,pfv,2,sg,pron,act,sp,uniq,sap,I,abst,barenp,typid,nonsp,nuniq,nfam,
(l'ul' ul wāren),133,1,A,PV,,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap,I,abst,barenp,typid,nonsp,nuniq,nfam,
<ā>ꞩi<ə>n o<ɔ̄>liman ul potьrten.,134,X,A,V,,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
"piɧriꞩ ꞩ<ā>ne l<ā>tьnьn at hu<on>tlas,",135,0,A,AxV,,pst,ind,neg,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
<ā>ꞩe jun o<ɔ̄>liman os kona kals.,136,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"n̩<ā>lane, jovte <jɔ̄wtane> vi<u>s",137,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,fam,sp,uniq,strg,
kona kals:,138,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
n̩<ā>l pahtaŋkv pats.,139,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,
ak n̩<ā>le pat<a>mtaste,140,1,AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,
os porsan̩<á>n pats.,141,0,A,V,,pst,ind,,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,,
akmatert pors<ā>n̩<á> os tь hotpa potьrtaŋke pats.,142,0,INF-A,APV,,pst,ind,,pfv,H,sg,demnp,fam,sp,uniq,strg,,,,,,,,
tɔha l<ā>vi:,143,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Jiv ne porsan̩at,144,,,,,,,,,,,,,,,,,,,,,,,
kate sajs,145,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
os laŋle sajs,146,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
nemat hotpan at kinsave.,147,1,P,AV,,npst,ind,neg,npfv,H,sg,negp,typid,nonsp,nuniq,nfam,H,sg,zero,top,sp,uniq,strg,
"man̩ moꞩne jaɧpiɧentьl akjot <ō>leɧa.""",148,0,A,AxV,,npst,ind,,npfv,H,du,barenp,fam,sp,uniq,strg,,,,,,,,
piɧ<ɣ>riꞩ ti l<ā>tьŋ. holme juji palt mol̩ah juv hajts.,149,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"ꞩan̩e, <ā>ꞩe nupil potьrtaŋkv pats.",150,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
toha l<ā>vi.,151,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
""" am kon n̩al pahtьmamin {paχtimamən} n̩<ā>lo<u̮>m porsan̩<á>n pats,",152,0,A,AxV,,pst,ind,,pfv,I,sg,possnp,fam,sp,uniq,strg,,,,,,,,
porsan̩<á>t hotpa ne potьrtaŋkv pats.,153,0,INF-A,APV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
toha l<ā>vs:,154,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Jiv ne porsan̩<á>t,155,,,,,,,,,,,,,,,,,,,,,,,
k<ā>te sajs,156,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
"as laŋle sajs,",157,0,A,AV,,pst,ind,,pfv,I,sg,possnp,uniq,sp,uniq,w_brdg,,,,,,,,
"nemat hotpan at kinsave,",158,1,P,AV,,npst,ind,neg,npfv,H,sg,negp,typid,nonsp,nuniq,nfam,H,sg,zero,top,sp,uniq,strg,
"Man̩ moꞩne joɧpiɧenьtl akjot oleɧa.""",159,0,A,AxV,,npst,ind,,npfv,H,du,barenp,fam,sp,uniq,strg,,,,,,,,
man̩ moꞩne piɧe nipil l<ā>vi,160,0,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"naŋ manure<ı̮>ɧ su<>>mp potьr potьrteɧ<ɣ>ьŋ,",161,1,A,AxPV,,npst,ind,quest,npfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
hɔ̆ŋɧa pi<u>no<u̮>m n<ē> o<ɔ̄>li.,162,0,A,AV,,npst,ind,quest,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
Man̩ moꞩhum piɧe toha potьrtam<um> jujupalt _ nomsaŋkv pats.,163,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
Mana sir jiv n<ē> sajs porsan̩<á>t,164,0,A,AV,,pst,ind,quest,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
os manьsir man̩ moꞩn<ē> jot am oleɧum.,165,0,A,AV,,npst,ind,quest,npfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
"os nomsi,",166,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"am jiv ne v<ā>r<ı̮>ɧlas<o>m,",167,1,A,APV,,pst,ind,,pfv,1,sg,pron,top,sp,uniq,sap,H,sg,barenp,fam,sp,uniq,strg,
"<ē>ri<ə>ŋ ta {jiv} n<ē>mm""",168,,,,,,,,,,,,,,,,,,,,,,,
man̩ moꞩhum n<ē>te (jaɧaɧь<i>te) nupil kantьŋɧeha {kantəŋı̮ɣa~kanəŋı̮ɣ} ł̩aɧis:,169,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""mana sir nоŋ man̩-moꞩne"".",170,,,,,,,quest,,,,,,,,,,,,,,,,
"n<ē>te to<ɔ̄>r hot <ń>iro<u̮>taste,",171,1,AP,PV,,pst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,uniq,sp,uniq,w_brdg,
n<ē>te nupi<ə>l su<>>nsi-,172,X,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
tav jaɧ<ā>ɧite.,173,,,,,,,,,,,,,,,,,,,,,,,
Man̩ moꞩhum sāɧra<u>p almajs.,174,1,A,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,w_prcp,
