,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 man̩salaste,554,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Ꞩeppa maɧьste,555,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Luve sisna talas,556,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Ta minmьɧtas,557,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Ta mini,558,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Molal elal̩ miname porat hujam kolen johtьs,559,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Juv ꞩaltьs,560,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Ta hurip aɧi̊ unli,561,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 Aɧi lavi:,562,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" - Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ, sōl̩ ta hum olmьn",563,0,A,V,NoPtcl,pst,evid,none,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 Hum kon kvalas,564,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 - Man̩ on̩ɧam juntum hoŋhsa hurьɧ kivьrna aman ti kol aman at lapnuv?,565,,,,,,,,,,,,,,,,,,,,,,
" Kon levataste,",566,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" maɧьste,",567,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 lapьs,568,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
" Ꞩamralaste,",569,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" man̩salaste,",570,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 ꞩepna maɧьste,571,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Ta mínmьɧtas,572,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Aꞩaɧe ꞩan̩aɧe palt johtьs,573,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Aꞩaɧe ꞩan̩aɧe ta kem matumьɧ,574,0,A,AxV,NoPtcl,pst,evid,none,pfv,H,du,possnp,act,sp,uniq,strg,,,,,,,
" Liliŋ vitьl ajtsaɧe,",575,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
" Man̩ıŋ jemtsaɧe,",576,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
" Itiɧ jemtьs,",577,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 us kant kotlet jomьɧti,578,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Artalas nila kol lapne janit mā,579,1,A,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,ref,sp,nuniq,nfam
 Hoŋhsa hurьɧ ꞩepnьl lévātas,580,1,A,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
" Kon almajaste,",581,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 kolьɧ jemtьs,582,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
 Os mot hoŋhsa hurьɧ kivьrnьl kon levataste,583,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
 Kolьɧ jemtьs,584,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
 Os motan levatas,585,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,demp,top,sp,uniq,strg
" Os hoŋhsa hurьɧ kivьrnьl kol kon viste,",586,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
" kolьɧ jemtьs,",587,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
" Os motan levatas,",588,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,demp,top,sp,uniq,strg
 sat nak l̩ulit kumьska kole kon levatas,589,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,top,sp,uniq,strg
 Kolьɧ jemtьs,590,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
 Holitanьɧ jemtьs,591,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 Us taɧьl mire ta sat nak lulit kumьska kol nupьl tuvle kartmьt,592,0,A,AxV,NoPtcl,pst,evid,none,pfv,H,pl,possnp,ref,nonsp,nuniq,nfam,,,,,,,
" luleɧt,",593,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
 sunseɧt,594,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" Namьŋ sāt, suiŋ sat aman l̩ul̩sьt",595,0,A,AxV,NoPtcl,pst,ind,none,npfv,H,pl,barenp,top,sp,uniq,strg,,,,,,,
" tuvle l̩al̩t, hontmanelt l̩uleɧt",596,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
 Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ paul tene janьɧ pūri ta vars,597,1,A,APV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 Sat nak l̩ulıt kumьska kolen us taɧьl mire tusьn tuv taltsane,598,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,pl,dpossnp,act,sp,uniq,strg
 Pūri teŋkve ta patsьt,599,0,INF-A,PV,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" Ti aman hosa tesьt,",600,0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" aman vati tesьt,",601,0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
 ti palite,602,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ Mutraŋ ekva aɧi Lui hum pьɧna miste,603,1,AP,APxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,fam,sp,uniq,strg
 Lui hum janьɧ aɧi (LHP eꞩe) Ekva Pьɧriꞩna miste,604,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam
 Lui hum pьɧ man̩ eꞩe Ekvaьɧ ojkaьɧ man̩ pьɧriꞩna neьɧ vajves,605,1,P,PAxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
" Ekvaьɧ ojkaьɧ man̩ pьɧ, Polum torum tā",606,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Lui hum pьɧ taj - Hul̩ otьr pьɧ,607,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Mortim ekva kaltaꞩ ꞩan tā,608,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 pes porat saka oꞩmarlas,609,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,uniq,sp,uniq,w_glob,,,,,,,
