Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
pı̮ɣaɣe kisne maɣəs tan χɔ̄nt wɔ̄wi,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam
 ta mā χɔntəs ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,demnp,act,sp,uniq,strg
" - nēn am tit tārateɣŭm, wit tarməl, ",1,A,PAV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,2,du,pron,act,sp,uniq,sap
ta kasasalasaɣe ,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,du,zero,act,sp,uniq,strg
χapəŋ χumı̮ɣ kasalasaɣe,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,barenp,top,sp,uniq,strg
" nɔ̄ŋχ alməstèn, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,zero,ref,sp,nuniq,weak
"χāpen pinsanen, χūlanèn",1,AP,VP,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,pl,dpossnp,act,sp,uniq,strg
 puweɣēn,1,AP,V,NoPtcl,npst,imp,none,pfv,2,du,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
 χāpəŋ taɣəl puweɣēn,1,AP,V,NoPtcl,npst,imp,none,pfv,2,du,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
χap ta puwɔstèn,1,AP,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
 χomi ta rau̯tsastèn,1,AP,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" pı̮ɣaɣe kit χumn ta puwwesı̮ɣ, ",1,P,PAV,ta,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg,H,du,possnp,act,sp,uniq,strg
 manare wiɣ! ,1,A,PV,NoPtcl,npst,ind,quest,pfv,H,sg,zero,top,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
wiŋkwe at ta werməsaɣe,1,AP,PV,ta,pst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,act,sp,uniq,strg
χūl alasən? - āti,1,A,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,A,mass,barenp,typid,nonsp,nuniq,nfam
" pı̮ɣaɣŭm ań mūnt ı̯ola taratasum, χūl aluŋkwe",1,A,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,H,du,possnp,fam,sp,uniq,strg
kit χumn ı̯oχtuwesı̮ɣ,X,P,AV,NoPtcl,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg,H,du,zero,typid,sp,nuniq,nfam
" ı̯a, ta, lāwi, naŋ kitı̮ɣlasən? ",1,AP,AV,NoPtcl,pst,ind,quest,pfv,2,sg,pron,act,sp,uniq,sap,1,sg,zero,act,sp,uniq,sap
naŋən woweɣum,1,A,PV,NoPtcl,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap
" TPϽ puŋke ı̯olanūw̭ moꞩ ɔ́ńsaste, ",1,AP,APV,NoPtcl,pst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
 anum wȯwəslən,1,AP,PV,NoPtcl,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,1,sg,pron,top,sp,uniq,sap
 χɔ̄ntlaχtən luwaɣamèn puweı̮n,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,A,du,possnp,ref,sp,uniq,nfam
"ꞩērmattein, ",1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,A,du,zero,act,sp,uniq,strg
seltan nen tuw pinen,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,pl,possnp,ref,sp,uniq,weak
 tuwəl ꞩermattas aɣe ,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,du,zero,act,sp,uniq,strg
"ꞩetlonèn tus pinɒs, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
MSχ woweln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,barenp,act,sp,uniq,strg
manarŭm alilum! ,1,AP,V,NoPtcl,npst,ind,quest,npfv,1,sg,zero,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
am naŋəŋ ı̯ot wowilŭm,1,AP,APV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap
χɔ̄ntlaχtən lawaɣamèn pawern,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,A,du,possnp,ref,sp,uniq,nfam
 taı̯aɣe puwsaɣe,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,du,npron,act,sp,uniq,strg
" ꞩermattasaɣe, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,du,zero,act,sp,uniq,strg
ꞩetlanèn pinɒs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,typid,sp,nuniq,nfam
"luwaɣamèn ꞩermattasaɣum, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,A,du,possnp,act,sp,uniq,strg
ꞩetla taɣum,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,A,du,zero,top,sp,uniq,strg
sāt pȯrı̮ɣ tur nōŋχ taktalen,1,A,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,I,pl,barenp,ref,sp,uniq,nfam
" kāеaɣe l'al't takamaɣe, ",1,AP,PV,NoPtcl,pst,evid,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,possnp,ref,sp,uniq,nfam
 tɔ̄rumn χɔ̄ntlaχtŭŋkwe ɔs at taratawet,1,P,APV,NoPtcl,npst,ind,neg,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,zero,act,sp,uniq,strg
" Wχ matər wārs, ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
 mana sāwit wērmeɣən ,1,A,PV,NoPtcl,npst,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,U,abst,barenp,ref,sp,nuniq,nfam
χūl alen ,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,A,mass,barenp,typid,nonsp,nuniq,nfam
mana kem aleɣən ,1,A,PV,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,U,abst,npron,ref,sp,nuniq,nfam
witχul ta ali,1,A,PV,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,mass,barenp,ref,nonsp,nuniq,strg
 manrı̮ɣ ı̯uu̯ tuləslən,1,AP,V,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
"χāl'èt χolit kit χum pērı̯en, ",1,A,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,sap,H,du,barenp,typid,sp,nuniq,nfam
 χolitan ti ȯln āni ı̯aŋk nēnsatə sɔ̄wəl perı̮ɣteln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,I,sg,demnp,act,sp,uniq,strg
 lap nēɣelen ,1,AP,V,NoPtcl,npst,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
wos totitēn,1,AP,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
ta χum tuu̯ ta wı̮ɣte,1,AP,AV,ta,npst,ind,none,pfv,H,sg,demnp,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
ańɔ̄ꞩne maté ta χɔ̄ntɒste,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
 ńaı̯tən ta χɔ̄ntwes,1,P,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,zero,ref,sp,uniq,weak
 ı̯aŋk sāli sɔ̄wəŋ tāɣəl ta wiste ,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 pı̮ɣı̮ɣ ɔ̄n’ꞩi. ,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,H,du,barenp,typid,sp,nuniq,nfam
" Kit janı̮ɣ χāp, kit sāt tal pı̮ɣaɣe ꞩɔpitası̮ɣ. ",1,A,PAV,NoPtcl,pst,ind,none,pfv,H,du,possnp,fam,sp,uniq,strg,I,du,barenp,typid,sp,nuniq,nfam
 pɔra ta neı̮ɣsı̮ɣ. ,1,A,PV,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
" janı̮ɣ uj n’ɔu̯l’ sāu̯ χūrı̮ɣ, janiı̮ɣ ij sāu̯ pȱt tāltəst. ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,pl,barenp,typid,sp,nuniq,nfam
 tuji χul sɔ̄t pȱjkēn. ,1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,nfam
 taku̯si uj sɔ̄t pȱjkēn. ,1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,nfam
