Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
mχ urən pal sāw sɔ̇mjaχ taɣintapti ,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
wȯrəŋ pal sāw sɔ̇mjaχ taɣ͕əntapti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
 ūsm ɔ̄tər ɔ̄jka ɔńꞩi χūru̮m āɣi,1,A,AVP,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,barenp,ref,sp,uniq,weak
 χajtalaste mań āɣi: ,1,AP,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,weak
"pȯ̭r tēɣt, ",1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
" - Am mȯlal l'ul' wārsum, ",1,A,APV,NoPtcl,pst,ind,none,pfv,1,sg,pron,top,sp,uniq,strg,U,abst,barenp,typid,nonsp,nuniq,nfam
" Tau̯ juil taχu̮mtaste, ",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" tau̥ alaste, tuwl",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" Ań am manər wāreɣu̮m, ",1,A,APV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
" Anꞩw salaste xɔt, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,weak
tau̯ ȱ̭lamane χɔt - aŋχw ɔs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,strg
" Mańe ȱ̭lamt nɔŋχ - wasane, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,act,sp,uniq,strg
mańe wiste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg
" jān, jȯla tārataste",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 tuu̯ ō̭lumane pintsane tuw̯,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
 Kēlpane ȱ̭lumanen tuu̯ mańiɣtasane,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
" Tɔ̄ru̮m āꞩ wɔ̄t wārs, ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,uniq,sp,uniq,weak,I,abst,barenp,typid,nonsp,nuniq,nfam
tujt pāttəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
 Jau̯ wil'te tujtı̮ɣlite,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,weak
 ɔ̄limetēn  ńawram ɔꞩsı̮ɣ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak
" mȯꞩ, nī jeɣpı̮ɣēntəl ńawram ɔꞩsı̮ɣ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,du,barenp,fam,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak
"sāɣrap wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
"kāsaj wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
kiw talu̮p wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" mȯrtsı̮ɣ kiwtɒs, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,pron,act,sp,uniq,strg
 jaɣāɣi=nete pȯ̭ŋk sɔ̄we puwəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,uniq,weak
 kȯna=kwaltəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" pāu̯l kan jola=pinɒste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
"sāɣrape wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
kāsaje wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
jaktəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" piɣriꞩe puwəste, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg
"kȯt tȯtaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" ɔs alaste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
pɔ̭̇l'iɣ sāɣrəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" Ur pil kinsi, ",1,A,PV,NoPtcl,npst,ind,none,npfv,A,sg,zero,act,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
wȯr pil kinsi,1,A,PV,NoPtcl,npst,ind,none,npfv,A,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
" pȯrı̮ɣ kasalaste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg
 juu̯=wātəste,1,AP,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 ɔ̄limēte unttəs ńawram,1,A,VP,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,A,mass,barenp,typid,sp,nuniq,weak
pil wāteɣt,1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
ēlmχȯlɒs jaɣāɣin ul ȯpētiten,1,A,PV,NoPtcl,npst,imp,neg,npfv,2,sg,zero,act,sp,uniq,strg,H,sg,possnp,uniq,sp,uniq,strg
" kȯl wārne mā kinsɒs, ",1,A,PV,NoPtcl,pst,ind,none,npfv,A,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
 kȯl wāri,1,A,PV,NoPtcl,npst,ind,none,npfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,nfam
" Wens tȯtəs, ",1,A,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
"χasli tȯtəs, ",1,A,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
pit'i wārs̥,1,A,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,nfam
 Tɔ̄rəm maltip χɔ̄tɒl wārs,1,A,APV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,nfam
"χal' kȯnsəl ꞩurtəste, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
sās nujiste,1,AP,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,weak
 juw=tȯtaste,1,AP,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
 elmχolas āɣitēn taktəste,1,AP,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
"ti sās pȯlχəl sarteln, ",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,sg,demnp,act,sp,uniq,strg
"χanseln, ",1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
matər χansa χanseln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
NƆ̄Ɔ̄ χūru̮m pı̮ɣ ɔńꞩi,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,uniq,sp,uniq,nfam,H,pl,barenp,ref,sp,uniq,nfam
 Man taχ NƆ̄Ɔ̄ āmpēn wɔ̄ŋχa āwi χȯrmtawe,1,P,APV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg,I,sg,barenp,uniq,sp,uniq,weak
 Naŋ tuw puweln,1,AP,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 Ti sās ta pɔrat sājt ɔwəln tuu̯=puu̯tawēln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,strg,I,sg,demnp,top,sp,uniq,strg
 tau̯ sājte kȯna=χārtite,1,AP,APV,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,I,sg,dpossnp,top,sp,uniq,strg
"aɣikwe, am manər lāweɣu̮m, ",1,A,APV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,strg,I,abst,npron,undef,nonsp,nuniq,nfam
"manər χuńꞩtasu̮m, ",1,A,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,strg,I,abst,npron,undef,nonsp,nuniq,nfam
nɔmēln,1,AP,V,NoPtcl,npst,imp,none,npfv,2,sg,zero,top,sp,uniq,strg,I,abst,zero,undef,nonsp,nuniq,nfam
naŋ mȯlal elmχȯlas jaɣaɣin manarı̮ɣ sawatilən,1,AP,APV,NoPtcl,npst,ind,quest,npfv,2,sg,pron,act,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
 tɔ̄rum āꞩēnn men ārı̮taptawesmēn,1,P,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,1,du,pron,act,sp,uniq,strg
 matarən ul piꞩtawen,1,P,AV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
 tau̯ puwəste ,1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
tuw χansaŋ sās tuu̯ māɣəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
χansaŋ sās kāsalasət,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
 Naŋ pı̮ɣkwe sipln tɔ̄rən χɔt-pēstēln,1,AP,APV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg,I,sg,possnp,ref,sp,nuniq,weak
 tɔ̄re pēstɒste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 sājte kiwərn māɣəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,dpossnp,act,sp,uniq,strg
    matər ꞩaŋkwən piꞩtuwes ke,1,P,AV,NoPtcl,pst,irr,none,pfv,I,sg,barenp,typid,sp,nuniq,nfam,H,sg,zero,top,sp,uniq,strg
"arı̮ɣ wāja ārı̮ɣ ȯ̭lan χɔt aŋχwen, ",1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
 nēte mastəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
naŋ nēn nɔŋχ ālmeln,1,AP,APV,NoPtcl,npst,imp,none,pfv,2,sg,pron,top,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
" talkwa ȱsma pineɣən, ",1,A,PV,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
"kars ȯsma pineɣən,",1,A,PV,NoPtcl,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
"mēn mēn ul nȯu̯χaten,",1,A,PV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,act,sp,uniq,strg,1,du,pron,act,sp,uniq,strg
 pinsane,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,ref,sp,uniq,nfam
 tuu ɔs akw mān pinijane,1,AP,AV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,ref,sp,nuniq,weak
 pinijane,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,ref,sp,nuniq,weak
 ńilit et … pinijane,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,ref,sp,nuniq,weak
 pinijane,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,ref,sp,nuniq,weak
wası̮ɣ am ꞩańum χɔt wāɣlum,1,AP,AV,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 Mȯl χɔ̄təl ɔ̄ul ēt majim utane pȱtin wisane,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,fam,sp,uniq,strg
kȯl alan ꞩēltumtasane,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
 Kars ȱsma pini,1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,strg
 takwa ȱsma ꞩɔ̄piti,1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,strg
 kitit ēt majlı̆mutane wisane ,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,fam,sp,uniq,strg
" man āmpən tēwet, ",1,P,AV,NoPtcl,npst,ind,none,pfv,A,sg,barenp,typid,nonsp,nuniq,nfam,I,pl,zero,act,sp,uniq,strg
man matarən tēwet,1,P,AV,NoPtcl,npst,ind,none,pfv,A,sg,barenp,typid,nonsp,nuniq,nfam,I,pl,zero,act,sp,uniq,strg
  lisane,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
ɔnipən jȯt wowen,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg
" karꞩ ȱsma pini, ",1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,strg
 talkwa ȯsma ꞩɔ̄piti ,1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,strg
 χūru̮m pēramań majimutane wisane ,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,fam,sp,uniq,strg
 ńawramamēn mēn pȯrmasanɒmēn ul nȯw̯χàtas,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,weak
" - Ja ta, āɣikwe, matər tȯtsən, ",1,A,PV,NoPtcl,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg,U,abst,npron,undef,sp,uniq,strg
" kos āmpən tēwet, ",1,P,AV,NoPtcl,npst,ind,none,pfv,A,sg,barenp,typid,nonsp,nuniq,nfam,I,pl,zero,act,sp,uniq,strg
"kos matarən tēwet, ",1,P,AV,NoPtcl,npst,ind,none,pfv,A,sg,barenp,typid,nonsp,nuniq,nfam,I,pl,zero,act,sp,uniq,strg
 lisane,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
" naŋ ērəŋ nȯmt ɔńꞩeɣən, ",1,A,APV,NoPtcl,npst,ind,none,npfv,2,sg,pron,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,weak
" Tɔ̄ru̮m ti ēt, jɔmas ēt, sistam ēt wāri",1,A,APV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,I,sg,demnp,ref,sp,uniq,nfam
" karꞩ ɔsma pini, ",1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,strg
"jɔmas tɔr, jɔmas sāɣı̮ warsı̮ɣ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 Tɔ̄rum jɔmas ēt wārum,1,A,APV,NoPtcl,pst,evid,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 numən pɔsəŋ sɔ̄wət lȯwinten,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,pl,barenp,ref,sp,nuniq,nfam
" mataχ mat sāt sɔ̄w lȯwintas,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,sp,nuniq,nfam
 sāŋkwəl tapən nɔŋχ=wȯjeln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
" jɔmɒs tɔr, jɔmas ȱ̭lam masas",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak
" am ꞩańum χumus jikwilum, ",1,AP,APV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
"ꞩāńum nan akw ti alaslən, ",1,AP,PAV,ti,pst,ind,none,pfv,2,pl,pron,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
" χɔsa tɔ̄rmēn χɔsaı̮ɣ ɔ̄lītēn, wat'ijiɣ wat'jiɣ tēn",1,AP,PV,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,I,abst,dpossnp,ref,sp,uniq,nfam
 jaɣpı̮ɣe ur miš nē ēka ȯńꞩi,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam
" mań mȯꞩ χum wȯrəŋ pal sāw sȯmjaχ tāɣ͕intapti, u͕rəŋ pti",1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
 mań mȯꞩ χum ak lu͕wnəl jānı̮ɣ sāt lu͕w janmaltɒs,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,A,pl,barenp,ref,nonsp,nuniq,nfam
 tuwl ɔ̄ꞩ kȯni paln pāχtsane,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,ref,nonsp,nuniq,strg
" tau āwite punsiɣtaste,",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,weak
" tau ēkate tɔ̄re ēla niru̯mtaste, kastəŋke",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
" χɔtal jalum wajane, ńarane χɔt āŋχsane,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,weak
" kȯl kȯlkann paχtsane,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
 ekatēn nɔχ at nu̇wet,1,P,AV,NoPtcl,npst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
" ńarane, wajane almajasane,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
" χɔtal alam ńɔχse-uje ālmaɣasane,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,nfam
" (ńarane, wajane), χɔuje mań jaɣaɣite kȯln ta ꞩēltum tasane",1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
 ńɔχs pit'i uj pit'i ꞩɔpitime ēkatēn,1,P,PVA,NoPtcl,pst,evid,none,pfv,H,sg,possnp,act,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,nfam
" kiwtalu̮p wȧs,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,nfam
 saɣ kasajaɣe ta mȯrtı̮əɣ ta kı̮wtsaɣe,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,possnp,act,sp,uniq,strg
" ɔꞩ kȯni paln rɔssane,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,ref,sp,uniq,strg
" - janı̮ɣ sāt luw ak luwnəl janmal talsum,",1,A,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,A,pl,barenp,ref,sp,uniq,strg
 ēkate kitapaste:,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg
" - ak luwnəl jānı̮ɣ sat luw janmal talsum,",1,A,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,A,pl,barenp,ref,sp,uniq,strg
 tuw χɔŋχan sȯrumpattuwest,1,P,AV,NoPtcl,pst,ind,quest,pfv,U,sg,npron,undef,nonsp,nuniq,nfam,A,pl,zero,act,sp,uniq,strg
" am luwanən am χun puwtsanum,",1,AP,PAV,NoPtcl,pst,ind,quest,pfv,1,sg,pron,act,sp,uniq,sap,A,pl,possnp,act,sp,uniq,strg
" jaɣaɣin puwtwēst̥,",1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,A,pl,zero,top,sp,uniq,strg
" luw lakane wı̮s,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,nuniq,strg
" sune unttaste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
 nȯmte patum luwe pu͕wste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,ref,sp,uniq,weak
 ta kɛ̄rste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg
 ȯs jiw ɔu̯əln pērmtaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg
" awi punsı̮ɣtaste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak
 tan luwe tārataste,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 tuw jaɣtı̮ɣe luwe tuwl ta pȯjłtaste,1,AP,AVP,ta,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 sunnəl sāɣrape wı̮s,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
" ań nāŋke ɔse χɔt nuiste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,uniq,strg
 mań mȯꞩ χum kit nāŋk sȯl' ta jȯrɣəs,1,A,APV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,barenp,act,sp,uniq,strg
 mań mȯꞩ nēn sunsawe,1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 - kataɣən punejn nāŋk tarməl,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,du,possnp,uniq,sp,uniq,weak
 an mań mȯꞩ nē kataɣe nāŋk tarməl ta pun saɣe,1,AP,APV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,possnp,act,sp,uniq,strg
 tuwl mań mȯꞩ χumn mań mȯꞩ nē jaɣāɣite kātaɣe sas sāɣrapawesı̮ɣ,1,P,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,du,possnp,act,sp,uniq,strg
" mań mȯꞩ χum tuwl jaɣāɣite χɔt ɔssı̮ɣ͕laste,",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg
" χȯsa tɔ̄ru̮m χȯsaı̮ɣ ūnlite,",1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,nfam
